Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR
E0,02/05/00,Middlesbrough,Newcastle United,2,2,D,1,2,A
E0,03/05/00,Leeds United,Watford,3,1,H,2,1,H
E0,03/05/00,Liverpool,Leicester City,0,2,A,0,1,A
E0,06/05/00,Arsenal,Chelsea,2,1,H,1,0,H
E0,06/05/00,Coventry,Sheffield Weds,4,1,H,1,0,H
E0,06/05/00,Derby,Newcastle United,0,0,D,0,0,D
E0,06/05/00,Leicester City,Bradford,3,0,H,0,0,D
E0,06/05/00,Manchester United,Tottenham Hotspur,3,1,H,3,1,H
E0,06/05/00,Middlesbrough,Watford,1,1,D,1,0,H
E0,06/05/00,Sunderland,West Ham United,1,0,H,1,0,H
E0,06/05/00,Wimbledon,Aston Villa,2,2,D,1,0,H
E0,07/05/00,Liverpool,Southampton,0,0,D,0,0,D
E0,08/05/00,Leeds United,Everton,1,1,D,1,0,H
E0,09/05/00,Arsenal,Sheffield Weds,3,3,D,1,0,H
E0,14/05/00,Aston Villa,Manchester United,0,1,A,0,0,D
E0,14/05/00,Bradford,Liverpool,1,0,H,1,0,H
E0,14/05/00,Chelsea,Derby,4,0,H,0,0,D
E0,14/05/00,Everton,Middlesbrough,0,2,A,0,1,A
E0,14/05/00,Newcastle United,Arsenal,4,2,H,2,1,H
E0,14/05/00,Sheffield Weds,Leicester City,4,0,H,2,0,H
E0,14/05/00,Southampton,Wimbledon,2,0,H,0,0,D
E0,14/05/00,Tottenham Hotspur,Sunderland,3,1,H,1,1,D
E0,14/05/00,Watford,Coventry,1,0,H,1,0,H
E0,14/05/00,West Ham United,Leeds United,0,0,D,0,0,D












































































































































































