Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,GBH,GBD,GBA,IWH,IWD,IWA,SBH,SBD,SBA,WHH,WHD,WHA,GB>2.5,GB<2.5
D2,10/11/02,SpVgg Greuther Fürth,St Pauli,2,1,H,1,0,H,1.66,3.25,4.5,1.67,3.55,4.4,1.75,3.2,4,1.615,3.4,4.5,1.55,3.5,4.8,1.7,2.02
D2,10/11/02,Karlsruher SC,Mannheim,1,1,D,1,0,H,1.72,3.25,4,1.6,3.55,4.5,1.7,3.2,4.2,1.571,3.4,5,1.7,3.2,4.25,1.66,2.05
D2,11/11/02,SC Freiburg,Ein Trier,1,0,H,1,0,H,1.66,3.25,4.5,1.68,3.48,4.75,1.7,3.2,4.2,1.615,3.4,4.5,1.65,3.3,4.4,1.55,2.1
D2,15/11/02,TSV Eintracht Braunschweig,Ahlen,1,0,H,1,0,H,2.3,3.2,2.625,2.32,3.26,2.9,2.2,3,2.9,2.25,3.25,2.7,2.1,3.15,2.9,,
D2,15/11/02,Mainz,Alemannia Aachen,3,1,H,1,1,D,2,3.2,3.2,1.89,3.3,3.52,1.85,3.1,3.6,1.909,3.2,3.4,1.9,3.2,3.35,,
D2,15/11/02,Union Berlin,Eintracht Frankfurt,1,1,D,0,1,A,2.5,3.1,2.5,2.58,3.3,2.48,2.5,3,2.5,2.5,3.2,2.4,2.65,3.1,2.3,,
D2,17/11/02,Ein Trier,Lubeck,1,3,A,0,2,A,1.727,3.2,4.333,1.72,3.3,4,1.8,3.1,3.8,1.727,3.25,4.2,1.7,3.3,4.1,,
D2,17/11/02,SC Freiburg,SpVgg Greuther Fürth,1,1,D,1,1,D,1.727,3.2,4.333,1.7,3.25,4.2,1.75,3.2,4,1.7,3.3,4.2,1.65,3.3,4.4,,
D2,17/11/02,Mannheim,MSV Duisburg,1,2,A,0,0,D,2.5,3.25,2.4,2.45,3.2,2.4,2.5,3,2.5,2.5,3.1,2.5,2.45,3.1,2.45,,
D2,17/11/02,Oberhausen,Karlsruher SC,3,1,H,1,1,D,1.615,3.5,4.5,1.62,3.35,4.6,1.7,3.2,4.2,1.615,3.4,4.75,1.7,3.3,4.1,,
D2,17/11/02,Reutlingen,Burghausen,0,0,D,0,0,D,1.909,3.25,3.4,1.86,3.2,3.5,1.9,3.1,3.5,1.909,3.25,3.4,1.95,3.15,3.25,,
D2,18/11/02,St Pauli,FC Cologne,2,3,A,1,1,D,3,3.2,2.1,3,2.95,2.15,3.1,3,2.1,3,3.2,2.1,3.45,3,1.95,,
D2,22/11/02,Alemannia Aachen,Mannheim,1,2,A,1,0,H,1.4,3.75,7,1.41,3.98,7,1.5,3.7,5,1.4,3.75,6.5,1.4,3.6,7,1.65,2.16
D2,22/11/02,Ahlen,Union Berlin,1,1,D,1,0,H,2,3.2,3.2,2,3.3,3.36,1.9,3.1,3.5,2,3.2,3.1,2.05,3.15,3.05,1.75,2
D2,22/11/02,MSV Duisburg,Oberhausen,3,0,H,1,0,H,2,3.2,3.2,2.06,3.2,3.38,2.2,3,2.9,2,3.1,3.2,2.05,3.1,3.1,1.77,1.94
D2,22/11/02,Eintracht Frankfurt,Mainz,1,0,H,1,0,H,1.909,3.25,3.4,1.9,3.3,3.56,2,3.1,3.2,1.833,3.3,3.5,1.9,3.1,3.5,1.7,2.06
D2,24/11/02,Burghausen,St Pauli,1,1,D,0,0,D,1.571,3.5,5,1.6,3.45,5,1.7,3.2,4.2,1.6,3.5,4.5,1.55,3.45,4.9,1.6,2.05
D2,24/11/02,SpVgg Greuther Fürth,Ein Trier,1,2,A,0,1,A,1.667,3.4,4.333,1.7,3.35,4.3,1.65,3.3,4.4,1.667,3.3,4.333,1.7,3.25,4.2,1.6,2.05
D2,24/11/02,Karlsruher SC,Reutlingen,0,0,D,0,0,D,2.3,3.2,2.625,2.3,3.25,2.61,2.3,3,2.7,2.3,3.2,2.6,2.25,3.1,2.7,1.65,1.95
D2,24/11/02,Lubeck,TSV Eintracht Braunschweig,2,1,H,0,1,A,1.667,3.4,4.333,1.7,3.35,4.36,1.75,3.2,4,1.667,3.3,4.333,1.7,3.3,4.1,1.6,2.05
D2,25/11/02,FC Cologne,SC Freiburg,1,0,H,1,0,H,2,3.2,3.2,1.95,3.1,3.41,2,3.1,3.2,2,3.1,3.2,1.95,3,3.45,1.7,1.9
D2,29/11/02,Mannheim,Eintracht Frankfurt,0,1,A,0,0,D,3.4,3.25,1.909,3.7,3.34,1.95,3.5,3.1,1.9,3.5,3.3,1.85,3.4,3.15,1.9,1.78,1.96
D2,29/11/02,Oberhausen,Alemannia Aachen,1,1,D,0,1,A,1.909,3.25,3.4,1.86,3.3,3.6,1.9,3.1,3.5,1.8,3.3,3.75,1.8,3.2,3.75,1.7,2.05,,
D2,29/11/02,Reutlingen,MSV Duisburg,2,4,A,1,4,A,2.2,3.25,2.75,2.3,3.38,2.78,2.3,2.9,2.8,2.1,3.2,3,2.25,3.15,2.65,1.75,1.94,,
D2,01/12/02,TSV Eintracht Braunschweig,Ein Trier,1,1,D,0,0,D,2.375,3.1,2.625,2.3,3.15,2.66,2.3,3,2.7,2.375,3.25,2.5,2.35,3.05,2.6,1.7,1.9,,
D2,01/12/02,FC Cologne,SpVgg Greuther Fürth,3,2,H,1,1,D,1.667,3.3,4.5,1.6,3.41,4.75,1.65,3.3,4.4,1.615,3.3,5,1.6,3.3,4.75,1.65,1.95,,
