Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,,,,,,,,,,,
D2,11/05/98,Meppen,Gutersloh,0,2,A,0,1,A,,,,,,,,,,,
D2,15/05/98,Dusseldorf,Nurnberg,2,1,H,1,0,H,,,,,,,,,,,
D2,15/05/98,Mainz,CZ Jena,5,0,H,4,0,H,,,,,,,,,,,
D2,15/05/98,Zwickau,Leipzig,2,0,H,0,0,D,,,,,,,,,,,
D2,17/05/98,F Koln,SC Freiburg,0,2,A,0,0,D,,,,,,,,,,,
D2,17/05/98,SpVgg Greuther Fürth,Uerdingen,3,1,H,2,0,H,,,,,,,,,,,
D2,17/05/98,Gutersloh,VfB Stuttgarter K,1,1,D,0,0,D,,,,,,,,,,,
D2,17/05/98,Unterhaching,Meppen,1,0,H,0,0,D,,,,,,,,,,,
D2,17/05/98,Wattenscheid,Energie Cottbus,0,2,A,0,1,A,,,,,,,,,,,
D2,18/05/98,St Pauli,Eintracht Frankfurt,2,0,H,1,0,H,,,,,,,,,,,
D2,20/05/98,CZ Jena,Zwickau,2,3,A,1,1,D,,,,,,,,,,,
D2,21/05/98,Leipzig,F Koln,1,4,A,1,3,A,,,,,,,,,,,
D2,21/05/98,Meppen,SpVgg Greuther Fürth,2,1,H,0,1,A,,,,,,,,,,,
D2,21/05/98,Nurnberg,Wattenscheid,2,2,D,0,0,D,,,,,,,,,,,
D2,21/05/98,Uerdingen,St Pauli,0,2,A,0,1,A,,,,,,,,,,,
D2,22/05/98,SC Freiburg,Dusseldorf,2,0,H,2,0,H,,,,,,,,,,,
D2,22/05/98,Gutersloh,Unterhaching,0,0,D,0,0,D,,,,,,,,,,,
D2,24/05/98,VfB Stuttgarter K,Energie Cottbus,2,1,H,2,0,H,,,,,,,,,,,
D2,25/05/98,Eintracht Frankfurt,Mainz,2,2,D,2,0,H,,,,,,,,,,,
D2,26/05/98,CZ Jena,Leipzig,0,0,D,0,0,D,,,,,,,,,,,
