Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SOH,SOD,SOA,SBH,SBD,SBA,WHH,WHD,WHA,GB>2.5,GB<2.5,B365>2.5,B365<2.5,
D1,26/10/02,Arminia Bielefeld,Hamburg SV,2,1,H,1,0,H,2.1,3.2,3,2.15,3.3,3.3,2.1,3,3.1,2.1,3.2,3,2,3.2,3.3,2,3.2,3.3,2.1,3.2,3,1.7,1.9,,,
D1,26/10/02,Hertha Berlin,Bayer Leverkusen,1,1,D,1,0,H,2,3.2,3.2,2.02,3.25,3.32,2,3.1,3.2,1.91,3.25,3.4,2,3.25,3.25,2,3.25,3.25,2.1,3.1,3.1,1.7,2,,,
D1,26/10/02,Borussia Monchengladbach,TSV Munich 1860,0,1,A,0,0,D,2.1,3.2,3,2.12,3.25,3.2,2.1,3,3.1,2.1,3.2,3,2.1,3.2,3.1,2.1,3.2,3.1,2.1,3.1,3.1,1.7,2.1,,,
D1,26/10/02,Schalke 04,Nurnberg,1,1,D,0,1,A,1.4,3.75,7,1.44,3.9,7.45,1.35,4,7,1.4,3.75,7,1.4,3.75,7.5,1.4,3.75,7.5,1.4,3.6,7.5,1.6,2.1,,,
D1,26/10/02,VfB Stuttgart,Energie Cottbus,0,0,D,0,0,D,1.444,3.6,6.5,1.44,3.8,7.5,1.4,3.9,6,1.44,3.5,7,1.4,3.75,7.5,1.4,3.75,7.5,1.4,3.75,7,1.6,2.1,,,
D1,26/10/02,Werder Bremen,Borussia Dortmund,1,4,A,1,1,D,2.25,3.2,2.75,2.4,3.25,3,2.4,3,2.6,2.4,3.25,2.5,2.38,3.1,2.7,2.375,3.1,2.7,2.3,3.1,2.75,1.7,2,,,
D1,27/10/02,VfL Wolfsburg,Hansa Rostock,1,0,H,1,0,H,1.8,3.3,3.75,1.83,3.3,4.2,1.8,3.1,3.8,1.83,3.2,3.75,1.8,3.25,4,1.8,3.25,4,1.72,3.25,4.2,1.7,1.97,,,
D1,02/11/02,Energie Cottbus,Schalke 04,0,1,A,0,0,D,3.2,3.2,2,3.35,3.3,2.01,3.1,3,2.1,3.2,3.2,2,3.25,3.25,2,3.4,3.25,2,3.2,3.2,2,1.8,1.8,,,
D1,02/11/02,Borussia Dortmund,Hamburg SV,1,1,D,0,0,D,1.444,3.6,6.5,1.45,3.7,7,1.45,3.8,5.4,1.44,3.6,6.5,1.44,3.6,7,1.444,3.75,7,1.44,3.6,6.5,1.65,1.95,,,
D1,02/11/02,Hannover,VfL Wolfsburg,3,1,H,2,0,H,2.3,3.2,2.625,2.3,3.3,2.75,2.2,3,2.9,2.38,3.2,2.6,2.2,3.25,2.8,2.3,3.2,2.8,2.4,3.1,2.6,1.65,1.95,,,
D1,02/11/02,Hansa Rostock,Kaiserslautern,2,2,D,1,1,D,2,3.2,3.2,2.01,3.3,3.35,2,3.1,3.2,1.91,3.2,3.5,2.1,3.25,3,2.1,3.2,3.2,2.1,3.1,3.1,1.9,1.7,,,
D1,02/11/02,Bayer Leverkusen,VfB Stuttgart,0,1,A,0,1,A,1.667,3.4,4.333,1.76,3.3,4.4,1.7,3.2,4.2,1.73,3.2,4.33,1.67,3.4,4.5,1.7,3.4,4.5,1.66,3.3,4.5,1.65,1.95,,,
D1,02/11/02,TSV Munich 1860,Arminia Bielefeld,3,1,H,3,1,H,1.667,3.3,4.5,1.66,3.45,4.85,1.65,3.3,4.4,1.57,3.5,5,1.67,3.4,4.5,1.667,3.4,4.75,1.61,3.3,5,1.65,1.95,,,
D1,02/11/02,Nurnberg,Borussia Monchengladbach,2,1,H,2,0,H,2,3.2,3.2,2.1,3.3,3.1,2.2,3,2.9,2,3.2,3.2,2.1,3.25,3,2.1,3.2,3.2,2,3.2,3.2,1.75,1.85,,,
